dataset;date;values
62293;01.02.2004;1.283100603
62293;01.03.2004;1.31661417
62293;01.04.2004;1.544783554
62293;01.05.2004;1.278622766
62293;01.06.2004;1.160093536
62293;01.07.2004;1.101080574
62293;01.08.2004;0.732780585
62293;01.09.2004;0.884096937
62293;01.10.2004;0.872804320999999
62293;01.11.2004;0.957035928
62293;01.12.2004;0.904076913
62293;01.01.2005;1.014126729
62293;01.02.2005;1.059926219
62293;01.03.2005;1.193956595
62293;01.04.2005;1.098423547
62293;01.05.2005;1.133131065
62293;01.06.2005;0.949182857
62293;01.07.2005;1.010832372
62293;01.08.2005;0.98289192
62293;01.09.2005;1.134742926
62293;01.10.2005;1.121468216
62293;01.11.2005;0.959813203
62293;01.12.2005;1.172443952
62293;01.01.2006;1.469945154
62293;01.02.2006;1.207031044
62293;01.03.2006;1.156306466
62293;01.04.2006;1.203012171
62293;01.05.2006;1.052193533
62293;01.06.2006;0.944872285
62293;01.07.2006;0.951847462
62293;01.08.2006;1.057824403
62293;01.09.2006;0.865998697
62293;01.10.2006;1.128095594
62293;01.11.2006;1.118115386
62293;01.12.2006;1.377785795
62293;01.01.2007;1.51920352
62293;01.02.2007;1.54853
62293;01.03.2007;1.458634118
62293;01.04.2007;1.269127368
62293;01.05.2007;1.437673103
62293;01.06.2007;1.457794778
62293;01.07.2007;1.391149239
62293;01.08.2007;1.350832424
62293;01.09.2007;0.53227393
62293;01.10.2007;0.569350471
62293;01.11.2007;0.663818987999999
62293;01.12.2007;0.79959946
62293;01.01.2008;0.738568120999999
62293;01.02.2008;0.164046271
62293;01.03.2008;0.407508092
62293;01.04.2008;0.542143446
62293;01.05.2008;0.738354992
62293;01.06.2008;0.709404612
62293;01.07.2008;0.839951426
62293;01.08.2008;0.493859521
62293;01.09.2008;0.056087347
62293;01.10.2008;-0.434632883
62293;01.11.2008;-1.760453747
62293;01.12.2008;-2.149587034
62293;01.01.2009;-2.426604339
62293;01.02.2009;-2.762068879
62293;01.03.2009;-2.80355471
62293;01.04.2009;-2.345597188
62293;01.05.2009;-2.315822511
62293;01.06.2009;-2.143552605
62293;01.07.2009;-1.483087004
62293;01.08.2009;-1.536724113
62293;01.09.2009;-1.526535775
62293;01.10.2009;-1.009848121
62293;01.11.2009;-0.849567445999999
62293;01.12.2009;-0.341146737
62293;01.01.2010;-0.230364164
62293;01.02.2010;-0.556297713
62293;01.03.2010;-0.535257557
62293;01.04.2010;0.138592708
62293;01.05.2010;0.107589975
62293;01.06.2010;-0.099636685
62293;01.07.2010;-0.109344863
62293;01.08.2010;-0.044872924
62293;01.09.2010;-0.612714467
62293;01.10.2010;-0.22545848
62293;01.11.2010;-0.07278793
62293;01.12.2010;0.189625274
62293;01.01.2011;0.266909674
62293;01.02.2011;0.218139202
62293;01.03.2011;0.207073222
62293;01.04.2011;0.0832455409999999
62293;01.05.2011;-0.095724737
62293;01.06.2011;0.357387977
62293;01.07.2011;0.318370896
62293;01.08.2011;0.460011032
62293;01.09.2011;-0.414111629
62293;01.10.2011;-0.47942821
62293;01.11.2011;-0.500621256
62293;01.12.2011;-0.369428388
62293;01.01.2012;-0.288173433
62293;01.02.2012;0.116974949
62293;01.03.2012;0.381033711
62293;01.04.2012;0.365244926
62293;01.05.2012;0.260782513
62293;01.06.2012;-0.049771636
62293;01.07.2012;-0.059039191
62293;01.08.2012;0.054757031
62293;01.09.2012;-0.214505045
62293;01.10.2012;0.342827674
62293;01.11.2012;0.131873638
62293;01.12.2012;0.412037499
62293;01.01.2013;0.367856512
62293;01.02.2013;0.380732402
62293;01.03.2013;0.545891337
62293;01.04.2013;0.51969462
62293;01.05.2013;0.257931882
62293;01.06.2013;-0.005726671
62293;01.07.2013;-0.167643343
62293;01.08.2013;-0.325892886
62293;01.09.2013;-0.276967775
62293;01.10.2013;-0.077391898
62293;01.11.2013;0.059557212
62293;01.12.2013;0.344164147999999
62293;01.01.2014;0.201234529
62293;01.02.2014;-0.034415209
62293;01.03.2014;-0.190383869
62293;01.04.2014;-0.359713861
62293;01.05.2014;-0.435737348
62293;01.06.2014;0.044413829
62293;01.07.2014;0.078807754
62293;01.08.2014;-0.329736366
62293;01.09.2014;-0.761372088
62293;01.10.2014;-0.595116797
62293;01.11.2014;-1.001335008
62293;01.12.2014;-0.974402101
62293;01.01.2015;-1.551464015
62293;01.02.2015;-1.756337226
62293;01.03.2015;-1.972269835
62293;01.04.2015;-1.53792343099999
62293;01.05.2015;-0.836182711
62293;01.06.2015;-0.845598354
62293;01.07.2015;-0.628935402
62293;01.08.2015;-0.761690482
62293;01.09.2015;-1.678045848
