dataset;date;values
62290;31.01.2011;97
62290;31.03.2011;104.7
62290;31.05.2011;106.2
62290;30.06.2011;103.6
62290;30.09.2011;102.7
62290;31.10.2011;109.9
62290;30.11.2011;104.7
62290;31.12.2011;105.5
62290;31.01.2012;101.6
62290;29.02.2012;97
62290;31.03.2012;108
62290;30.04.2012;106.4
62290;31.05.2012;109.3
62290;30.06.2012;106.7
62290;31.07.2012;109.1
62290;31.08.2012;109
62290;30.09.2012;106.4
62290;31.10.2012;111.2
62290;30.11.2012;106.4
62290;31.12.2012;101.5
62290;28.02.2013;93.9
62290;31.03.2013;104.9
62290;30.04.2013;102.7
62290;31.05.2013;105.6
62290;30.06.2013;103.6
62290;31.07.2013;106.7
62290;31.08.2013;107.5
62290;30.09.2013;104.7
62290;31.10.2013;105.9
62290;30.11.2013;103.5
62290;31.12.2013;103.3
62290;31.01.2014;96.3
62290;28.02.2014;93.3
62290;31.03.2014;104.4
62290;30.04.2014;101.9
62290;31.05.2014;103.2
62290;30.06.2014;100.6
62290;31.07.2014;103.1
62290;31.08.2014;105.8
62290;30.09.2014;104.9
62290;31.10.2014;107.6
62290;30.11.2014;103.1
62290;31.12.2014;103.1
62290;31.01.2015;96.6
62290;28.02.2015;92.5
62290;31.03.2015;103
62290;30.04.2015;99.8
62290;31.05.2015;99.9
62290;30.06.2015;97.3
62290;31.07.2015;102.8
62290;31.08.2015;105.2
62290;30.09.2015;103.5
62290;31.10.2015;107
62290;30.11.2015;103.1
62290;31.12.2015;104.3
62290;31.01.2016;93.8
62290;29.02.2016;95.2
62290;31.03.2016;105.1
62290;30.04.2016;101.4
62290;31.05.2016;102.9
62290;30.06.2016;101.3
62290;31.07.2016;104.4
62290;31.08.2016;105.9
62290;30.09.2016;102
62290;31.10.2016;103.4
62290;30.11.2016;102.2
62290;31.12.2016;105.2
62290;31.01.2017;100.1
62290;28.02.2017;96
62290;31.03.2017;109
62290;30.04.2017;105.3
62290;31.05.2017;106.5
62290;30.06.2017;103.8
62290;31.07.2017;106.6
62290;31.08.2017;106.2
62290;30.09.2017;103.8
62290;31.10.2017;108.1
62290;30.11.2017;105.7
62290;31.12.2017;110.2
62290;31.01.2018;103.5
62290;28.02.2018;99.8
62290;31.03.2018;112.4
62290;30.04.2018;108.9
62290;31.05.2018;110.3
62290;30.06.2018;107
62290;31.07.2018;107.6
62290;31.08.2018;108.4
62290;30.09.2018;104.5
62290;31.10.2018;108.4
62290;30.11.2018;107.3
62290;31.12.2018;109
62290;31.01.2019;105.4
62290;28.02.2019;100
62290;31.03.2019;113.3
62290;30.04.2019;107.1
62290;31.05.2019;106.3
62290;30.06.2019;101.6
62290;31.07.2019;108
62290;31.08.2019;109
62290;30.09.2019;106
62290;31.10.2019;109.5
62290;30.11.2019;105.5
62290;31.12.2019;106.7
62290;31.01.2020;100.2
62290;29.02.2020;99.4
62290;31.03.2020;106.6
62290;30.04.2020;100.8
62290;31.05.2020;100.5
62290;30.06.2020;97.1
62290;31.07.2020;103.8
62290;31.08.2020;108.1
62290;30.09.2020;105.2
62290;31.10.2020;109.9
62290;30.11.2020;104.7
62290;31.12.2020;107
62290;31.01.2021;101.2
62290;28.02.2021;96.7
62290;31.03.2021;109.4
62290;30.04.2021;107.8
62290;31.05.2021;110.9
62290;30.06.2021;107
62290;31.07.2021;108
62290;31.08.2021;109
62290;30.09.2021;106.4
62290;31.10.2021;110.3
62290;30.11.2021;108
62290;31.12.2021;108.4
62290;31.01.2022;104.1
62290;28.02.2022;105.4
62290;31.03.2022;106.7
62290;30.04.2022;102.4
62290;31.05.2022;104.6
62290;30.06.2022;100
62290;31.07.2022;102.1
62290;31.08.2022;103.6
62290;30.09.2022;100.8
62290;31.10.2022;107
62290;30.11.2022;103.5
62290;31.12.2022;102.7
62290;31.01.2023;99.2
62290;28.02.2023;97.2
62290;31.03.2023;109.1
62290;30.04.2023;105.5
62290;31.05.2023;106.7
62290;30.06.2023;101.4
62290;31.07.2023;103.1
62290;31.08.2023;103.7
62290;30.09.2023;100.9
62290;31.10.2023;103.3
62290;30.11.2023;101.5
62290;31.12.2023;100.7
62290;31.01.2024;94.8
62290;29.02.2024;95.9
62290;31.03.2024;105.3
62290;30.04.2024;101.7
62290;31.05.2024;104.4
