dataset;date;values
69778;31.01.1992;20
69778;29.02.1992;20
69778;31.03.1992;20
69778;30.04.1992;50
69778;31.05.1992;80
69778;30.06.1992;80
69778;31.07.1992;80
69778;31.08.1992;80
69778;30.09.1992;80
69778;31.10.1992;80
69778;30.11.1992;80
69778;31.12.1992;80
69778;31.01.1993;80
69778;28.02.1993;80
69778;31.03.1993;100
69778;30.04.1993;100
69778;31.05.1993;100
69778;30.06.1993;140
69778;31.07.1993;170
69778;31.08.1993;170
69778;30.09.1993;180
69778;31.10.1993;210
69778;30.11.1993;210
69778;31.12.1993;210
69778;31.01.1994;210
69778;28.02.1994;210
69778;31.03.1994;210
69778;30.04.1994;205
69778;31.05.1994;200
69778;30.06.1994;155
69778;31.07.1994;155
69778;31.08.1994;130
69778;30.09.1994;130
69778;31.10.1994;170
69778;30.11.1994;180
69778;31.12.1994;180
69778;31.01.1995;200
69778;28.02.1995;200
69778;31.03.1995;200
69778;30.04.1995;200
69778;31.05.1995;195
69778;30.06.1995;180
69778;31.07.1995;180
69778;31.08.1995;180
69778;30.09.1995;180
69778;31.10.1995;170
69778;30.11.1995;170
69778;31.12.1995;160
69778;31.01.1996;160
69778;29.02.1996;120
69778;31.03.1996;120
69778;30.04.1996;120
69778;31.05.1996;120
69778;30.06.1996;120
69778;31.07.1996;110
69778;31.08.1996;80
69778;30.09.1996;80
69778;31.10.1996;60
69778;30.11.1996;60
69778;31.12.1996;48
69778;31.01.1997;48
69778;28.02.1997;42
69778;31.03.1997;42
69778;30.04.1997;36
69778;31.05.1997;36
69778;30.06.1997;24
69778;31.07.1997;24
69778;31.08.1997;24
69778;30.09.1997;24
69778;31.10.1997;21
69778;30.11.1997;28
69778;31.12.1997;28
69778;31.01.1998;28
69778;28.02.1998;39
69778;31.03.1998;30
69778;30.04.1998;30
69778;31.05.1998;150
69778;30.06.1998;80
69778;31.07.1998;60
69778;31.08.1998;60
69778;30.09.1998;60
69778;31.10.1998;60
69778;30.11.1998;60
69778;31.12.1998;60
69778;31.01.1999;60
69778;28.02.1999;60
69778;31.03.1999;60
69778;30.04.1999;60
69778;31.05.1999;60
69778;30.06.1999;55
69778;31.07.1999;55
69778;31.08.1999;55
69778;30.09.1999;55
69778;31.10.1999;55
69778;30.11.1999;55
69778;31.12.1999;55
