dataset;date;values
62294;01.08.2013;1298.67
62294;01.09.2013;1207.72
62294;01.10.2013;1193.83
62294;01.11.2013;1108.22
62294;01.12.2013;1109.07
62294;01.01.2014;1105.27
62294;01.02.2014;1136.76
62294;01.03.2014;1107.88
62294;01.04.2014;1159.27
62294;01.05.2014;1190.57
62294;01.06.2014;1266.74
62294;01.07.2014;1241.98
62294;01.08.2014;1252.73
62294;01.09.2014;1204.08
62294;01.10.2014;1127.01
62294;01.11.2014;1120.61
62294;01.12.2014;1113.96
62294;01.01.2015;1049.05
62294;01.02.2015;1156.01
62294;01.03.2015;1167.5
62294;01.04.2015;1148.2
62294;01.05.2015;1075.24
62294;01.06.2015;1173.59
62294;01.07.2015;1183.02
62294;01.08.2015;1157.66
62294;01.09.2015;1210.04
62294;01.10.2015;1221.62
62294;01.11.2015;1181.02
62294;01.12.2015;1133.95
62294;01.01.2016;1168.17
62294;01.02.2016;1139.51
62294;01.03.2016;1132.65
62294;01.04.2016;1110.31
62294;01.05.2016;1145.65
62294;01.06.2016;1248.72
62294;01.07.2016;1278.66
62294;01.08.2016;1340.6
62294;01.09.2016;1275.02
62294;01.10.2016;1198.59
62294;01.11.2016;1192.79
62294;01.12.2016;1218.24
62294;01.01.2017;1182.94
62294;01.02.2017;1197.11
62294;01.03.2017;1160.36
62294;01.04.2017;1178.87
62294;01.05.2017;1135.32
62294;01.06.2017;1125.95
62294;01.07.2017;1169.43
62294;01.08.2017;1308.1
62294;01.09.2017;1325.64
62294;01.10.2017;1281.23
62294;01.11.2017;1203.43
62294;01.12.2017;1180.93
62294;01.01.2018;1207.58
62294;01.02.2018;1177.11
62294;01.03.2018;1174.26
62294;01.04.2018;1240.79
62294;01.05.2018;1163.67
62294;01.06.2018;1164.54
62294;01.07.2018;1255.75
62294;01.08.2018;1294.78
62294;01.09.2018;1357.56
62294;01.10.2018;1338.43
62294;01.11.2018;1299.94
62294;01.12.2018;1291.67
62294;01.01.2019;1299.33
62294;01.02.2019;1285.23
62294;01.03.2019;1338.83
62294;01.04.2019;1364.46
62294;01.05.2019;1309.48
62294;01.06.2019;1326.34
62294;01.07.2019;1268.38
62294;01.08.2019;1278.48
62294;01.09.2019;1291.98
62294;01.10.2019;1249.29
62294;01.11.2019;1138.38
62294;01.12.2019;1305.75
62294;01.01.2020;1220.53
62294;01.02.2020;1257.19
62294;01.03.2020;1187.69
62294;01.04.2020;1158.99
62294;01.05.2020;1069.47
62294;01.06.2020;1147.66
62294;01.07.2020;1326.22
62294;01.08.2020;1303.8
62294;01.09.2020;1256.76
62294;01.10.2020;1144.31
62294;01.11.2020;1209.47
62294;01.12.2020;1248.98
62294;01.01.2021;1340.27
62294;01.02.2021;1366.06
62294;01.03.2021;1374.04
62294;01.04.2021;1302.87
62294;01.05.2021;1252.73
62294;01.06.2021;1391.6
62294;01.07.2021;1499.96
62294;01.08.2021;1601.49
62294;01.09.2021;1520.02
62294;01.10.2021;1394.64
62294;01.11.2021;1389.86
62294;01.12.2021;1427.49
62294;01.01.2022;1424.68
62294;01.02.2022;1470.18
62294;01.03.2022;1454.72
62294;01.04.2022;1423.96
62294;01.05.2022;1304.83
62294;01.06.2022;1327.52
62294;01.07.2022;1490.83
62294;01.08.2022;1583.97
62294;01.09.2022;1478.07
62294;01.10.2022;1429.82
62294;01.11.2022;1354.35
62294;01.12.2022;1579.98
62294;01.01.2023;1557.91
62294;01.02.2023;1580.79
62294;01.03.2023;1596.29
62294;01.04.2023;1479.02
62294;01.05.2023;1570.92
62294;01.06.2023;1579.7
62294;01.07.2023;1616.58
62294;01.08.2023;1668.21
62294;01.09.2023;1676.48
62294;01.10.2023;1595.4
62294;01.11.2023;1562.07
62294;01.12.2023;1604.72
62294;01.01.2024;1642.73
62294;01.02.2024;1690.95
62294;01.03.2024;1642.56
62294;01.04.2024;1542.34
62294;01.05.2024;1564.74
