date,Денежный агрегат М0
01.01.2001,418.9
01.02.2001,379.7
01.03.2001,387.6
01.04.2001,399.0
01.05.2001,435.0
01.06.2001,438.0
01.07.2001,474.3
01.08.2001,490.3
01.09.2001,506.8
01.10.2001,530.6
01.11.2001,531.0
01.12.2001,526.8
01.01.2002,583.8
01.02.2002,532.9
01.03.2002,543.1
01.04.2002,552.7
01.05.2002,609.9
01.06.2002,607.2
01.07.2002,645.7
01.08.2002,659.5
01.09.2002,678.8
01.10.2002,672.3
01.11.2002,675.6
01.12.2002,690.4
01.01.2003,763.2
01.02.2003,708.9
01.03.2003,730.8
01.04.2003,749.5
01.05.2003,822.3
01.06.2003,855.5
01.07.2003,917.0
01.08.2003,940.9
01.09.2003,966.3
01.10.2003,957.1
01.11.2003,975.8
01.12.2003,1002.1
01.01.2004,1147.0
01.02.2004,1130.6
01.03.2004,1164.1
01.04.2004,1165.5
01.05.2004,1230.1
01.06.2004,1220.5
01.07.2004,1276.1
01.08.2004,1315.0
01.09.2004,1290.6
01.10.2004,1293.7
01.11.2004,1310.3
01.12.2004,1332.7
01.01.2005,1534.8
01.02.2005,1425.2
01.03.2005,1444.1
01.04.2005,1481.7
01.05.2005,1565.8
01.06.2005,1582.3
01.07.2005,1650.7
01.08.2005,1701.8
01.09.2005,1703.3
01.10.2005,1740.7
01.11.2005,1752.0
01.12.2005,1765.8
01.01.2006,2009.2
01.02.2006,1875.6
01.03.2006,1890.1
01.04.2006,1928.8
01.05.2006,2027.8
01.06.2006,2096.9
01.07.2006,2233.4
01.08.2006,2290.3
01.09.2006,2351.6
01.10.2006,2400.8
01.11.2006,2402.2
01.12.2006,2450.7
01.01.2007,2785.2
01.02.2007,2630.1
01.03.2007,2682.0
01.04.2007,2741.2
01.05.2007,2859.4
01.06.2007,2896.6
01.07.2007,3027.5
01.08.2007,3087.0
01.09.2007,3170.6
01.10.2007,3220.9
01.11.2007,3259.1
01.12.2007,3373.4
01.01.2008,3702.2
01.02.2008,3465.7
