#Название: Индекс промышленного производства, Россия
#Частотность: Ежемесячные, Ежеквартальные, Ежегодные
#Дата последнего (предшествующего) обновления в первоисточнике: 15 июня 2024 г.
#Единицы измерения: %
#https://data.vavt.ru/ru/analytiс_sets/dataset/62298/chart
#Источник: https://rosstat.gov.ru/compendium/document/50802
#
dataset;date;Индекс промышленного производства, Россия: квартальные данные|в % к соответствующему периоду предыдущего года
62298;31.03.2006;104.1
62298;30.06.2006;106.6
62298;30.09.2006;107.2
62298;31.12.2006;107.1
62298;31.03.2007;107.8
62298;30.06.2007;107.1
62298;30.09.2007;106.8
62298;31.12.2007;105.6
62298;31.03.2008;106
62298;30.06.2008;104.3
62298;30.09.2008;101.9
62298;31.12.2008;90.9
62298;31.03.2009;83.3
62298;30.06.2009;85.4
62298;30.09.2009;88.1
62298;31.12.2009;101
62298;31.03.2010;108.4
62298;30.06.2010;107.6
62298;30.09.2010;105.9
62298;31.12.2010;107.2
62298;31.03.2011;105
62298;30.06.2011;106.1
62298;30.09.2011;105.3
62298;31.12.2011;103.8
62298;31.03.2012;104.5
62298;30.06.2012;102.4
62298;30.09.2012;103.4
62298;31.12.2012;103.2
62298;31.03.2013;98.8
62298;30.06.2013;100.8
62298;30.09.2013;100.6
62298;31.12.2013;101.4
62298;31.03.2014;100.9
62298;30.06.2014;101.4
62298;30.09.2014;103.3
62298;31.12.2014;104.1
62298;31.03.2015;101
62298;30.06.2015;99.5
62298;30.09.2015;100.5
62298;31.12.2015;100
62298;31.03.2016;100.7
62298;30.06.2016;100.5
62298;30.09.2016;101.7
62298;31.12.2016;104.1
62298;31.03.2017;103.9
62298;30.06.2017;105.4
62298;30.09.2017;104.6
62298;31.12.2017;101.2
62298;31.03.2018;102.9
62298;30.06.2018;102.9
62298;30.09.2018;102.9
62298;31.12.2018;105.4
62298;31.03.2019;103.2
62298;30.06.2019;103.2
62298;30.09.2019;104.4
62298;31.12.2019;102.8
62298;31.03.2020;103.2
62298;30.06.2020;93.8
62298;30.09.2020;95.7
62298;31.12.2020;99.2
62298;31.03.2021;99.5
62298;30.06.2021;110.9
62298;30.09.2021;107
62298;31.12.2021;107.9
62298;31.03.2022;106.3
62298;30.06.2022;98.6
62298;30.09.2022;99.8
62298;31.12.2022;98.7
62298;31.03.2023;98.6
62298;30.06.2023;105.7
62298;30.09.2023;105.4
62298;31.12.2023;104.1
62298;31.03.2024;105.6
