dataset;date;Индекс промышленного производства, Россия: ежемесячные данные|в % к предыдущему периоду
62298;28.02.1999;94.1
62298;31.03.1999;112.9
62298;30.04.1999;94.1
62298;31.05.1999;93.5
62298;30.06.1999;100.8
62298;31.07.1999;103.4
62298;31.08.1999;100.5
62298;30.09.1999;103.9
62298;31.10.1999;101.4
62298;30.11.1999;102
62298;31.12.1999;124.4
62298;31.01.2000;84.5
62298;29.02.2000;96.4
62298;31.03.2000;107.2
62298;30.04.2000;103
62298;31.05.2000;88
62298;30.06.2000;101.5
62298;31.07.2000;100.5
62298;31.08.2000;102.1
62298;30.09.2000;100.1
62298;31.10.2000;106.1
62298;30.11.2000;100
62298;31.12.2000;106.7
62298;31.01.2001;90.8
62298;28.02.2001;96.5
62298;31.03.2001;109.1
62298;30.04.2001;95.1
62298;31.05.2001;99.6
62298;30.06.2001;99
62298;31.07.2001;101.1
62298;31.08.2001;101.5
62298;30.09.2001;100.5
62298;31.10.2001;108.2
62298;30.11.2001;99.1
62298;31.12.2001;102.5
62298;31.01.2002;92.7
62298;28.02.2002;95.8
62298;31.03.2002;108.8
62298;30.04.2002;96.2
62298;31.05.2002;95.5
62298;30.06.2002;101.5
62298;31.07.2002;104.7
62298;31.08.2002;101.1
62298;30.09.2002;99.5
62298;31.10.2002;107
62298;30.11.2002;96.7
62298;31.12.2002;105.9
62298;31.01.2003;93.4
62298;28.02.2003;98.8
62298;31.03.2003;110.7
62298;30.04.2003;97.2
62298;31.05.2003;95.3
62298;30.06.2003;100.6
62298;31.07.2003;103.7
62298;31.08.2003;99.1
62298;30.09.2003;102.8
62298;31.10.2003;105.5
62298;30.11.2003;97.3
62298;31.12.2003;110.2
62298;31.01.2004;88.2
62298;29.02.2004;101.6
62298;31.03.2004;107.6
62298;30.04.2004;96.5
62298;31.05.2004;96.2
62298;30.06.2004;103.2
62298;31.07.2004;100.9
62298;31.08.2004;102.1
62298;30.09.2004;99.3
62298;31.10.2004;103.2
62298;30.11.2004;101.5
62298;31.12.2004;107.9
62298;31.01.2005;85.2
62298;28.02.2005;104.6
62298;31.03.2005;106.6
62298;30.04.2005;96.2
62298;31.05.2005;94.6
62298;30.06.2005;106.2
62298;31.07.2005;99.7
62298;31.08.2005;102.1
62298;30.09.2005;100.6
62298;31.10.2005;102.7
62298;30.11.2005;102.1
62298;31.12.2005;105.9
62298;31.01.2006;85.6
62298;28.02.2006;101.1
62298;31.03.2006;111.5
62298;30.04.2006;94.6
62298;31.05.2006;100.7
62298;30.06.2006;100.5
