,date,ipc,curs,interest_rate,agg_m0,money_supply,share_m0
0,1992-01-01,,,20.0,,,
1,1992-02-01,,,20.0,,,
2,1992-03-01,,,20.0,,,
3,1992-04-01,,,50.0,,,
4,1992-05-01,,,80.0,,,
5,1992-06-01,,,80.0,,,
6,1992-07-01,,141.55599999999998,80.0,,,
7,1992-08-01,,168.1625,80.0,,,
8,1992-09-01,,220.4888888888889,80.0,,,
9,1992-10-01,,353.77777777777777,80.0,,,
10,1992-11-01,,426.25,80.0,,,
11,1992-12-01,,414.55555555555554,80.0,,,
12,1993-01-01,,484.2142857142857,80.0,,,
13,1993-02-01,,569.0,80.0,,,
14,1993-03-01,,664.5555555555555,100.0,,,
15,1993-04-01,,767.2222222222222,100.0,,,
16,1993-05-01,,914.5714285714286,100.0,,,
17,1993-06-01,,1079.625,140.0,,,
18,1993-07-01,,1025.5,170.0,,,
19,1993-08-01,,985.5625,170.0,,,
20,1993-09-01,,1058.611111111111,180.0,,,
21,1993-10-01,,1185.75,210.0,,,
22,1993-11-01,,1190.75,210.0,,,
23,1993-12-01,,1238.888888888889,210.0,,,
24,1994-01-01,,1435.857142857143,210.0,,,
25,1994-02-01,,1579.125,210.0,,,
26,1994-03-01,,1717.25,210.0,,,
27,1994-04-01,,1790.111111111111,205.0,,,
28,1994-05-01,,1876.5714285714287,200.0,,,
29,1994-06-01,,1952.2222222222222,155.0,,,
30,1994-07-01,,2022.888888888889,155.0,,,
31,1994-08-01,,2118.222222222222,130.0,,,
32,1994-09-01,,2346.4444444444443,130.0,,,
33,1994-10-01,,3065.375,170.0,,,
34,1994-11-01,,3144.0,180.0,,,
35,1994-12-01,,3388.222222222222,180.0,,,
36,1995-01-01,,3836.285714285714,200.0,,,
37,1995-02-01,,4214.75,200.0,,,
38,1995-03-01,,4721.0,200.0,,,
39,1995-04-01,,5024.125,200.0,,,
40,1995-05-01,,5053.857142857143,195.0,,,
41,1995-06-01,,4724.555555555556,180.0,,152.8,
42,1995-07-01,,4522.5,180.0,,162.4,
43,1995-08-01,,4415.0,180.0,,173.6,
44,1995-09-01,,4471.555555555556,180.0,,182.0,
45,1995-10-01,,4501.25,170.0,,186.6,
46,1995-11-01,,4539.0,170.0,,200.2,
47,1995-12-01,,4619.75,160.0,,211.3,
48,1996-01-01,,4688.625,160.0,,220.4,
49,1996-02-01,,4761.375,120.0,,231.8,
50,1996-03-01,,4834.888888888889,120.0,,245.4,
51,1996-04-01,,4901.5,120.0,,249.8,
52,1996-05-01,,4988.142857142857,120.0,,253.3,
53,1996-06-01,,5055.85,120.0,,260.6,
54,1996-07-01,,5148.333333333333,110.0,,268.0,
55,1996-08-01,,5282.608695652174,80.0,,274.4,
56,1996-09-01,,5371.5,80.0,,279.8,
57,1996-10-01,,5431.391304347826,60.0,,282.9,
58,1996-11-01,,5482.952380952381,60.0,,288.7,
59,1996-12-01,,5536.857142857143,48.0,,275.6,
60,1997-01-01,,5600.85,48.0,,295.3,
61,1997-02-01,,5653.825,42.0,,302.4,
62,1997-03-01,,5703.925,42.0,,310.7,
63,1997-04-01,,5747.272727272727,36.0,,317.3,
64,1997-05-01,,5770.45,36.0,,327.2,
65,1997-06-01,,5780.026315789473,24.0,,343.8,
66,1997-07-01,,5787.347826086957,24.0,,358.1,
67,1997-08-01,,5811.886363636364,24.0,,363.9,
68,1997-09-01,,5846.976190476191,24.0,,367.3,
69,1997-10-01,,5874.869565217391,21.0,,373.4,
70,1997-11-01,,5902.8,28.0,,364.6,
71,1997-12-01,,5940.7,28.0,,357.4,
72,1998-01-01,,5.99665,28.0,,372.0,
73,1998-02-01,,6.05085,39.0,,371.2,
74,1998-03-01,,6.089925,30.0,,370.6,
75,1998-04-01,,6.123772727272728,30.0,,373.5,
76,1998-05-01,,6.149447368421053,150.0,,374.4,
77,1998-06-01,,6.1801,80.0,,365.9,
78,1998-07-01,,6.21641304347826,60.0,,359.8,
79,1998-08-01,,6.751785714285714,60.0,,349.9,
80,1998-09-01,,14.408472727272727,60.0,,378.2,
81,1998-10-01,,15.908821739130435,60.0,,391.5,
82,1998-11-01,,16.47421052631579,60.0,,414.5,
83,1998-12-01,,19.99318181818182,60.0,,432.6,
84,1999-01-01,,22.28473684210526,60.0,,458.9,
85,1999-02-01,,22.91,60.0,,478.5,
86,1999-03-01,,23.50047619047619,60.0,,490.9,
87,1999-04-01,,24.729090909090907,60.0,,520.5,
88,1999-05-01,,24.45888888888889,60.0,,551.4,
89,1999-06-01,,24.28857142857143,55.0,,569.4,
90,1999-07-01,,24.30304347826087,55.0,,586.9,
91,1999-08-01,,24.71047619047619,55.0,,604.5,
92,1999-09-01,,25.455454545454543,55.0,,616.9,
93,1999-10-01,,25.72681818181818,55.0,,647.7,
94,1999-11-01,,26.308,55.0,,672.4,
95,1999-12-01,,26.794761904761906,55.0,,678.4,
96,2000-01-01,,28.253333333333334,45.0,,724.3,
97,2000-02-01,,28.724285714285717,45.0,,755.6,
98,2000-03-01,,28.457727272727276,33.0,,781.0,
99,2000-04-01,,28.595238095238095,33.0,,808.4,
100,2000-05-01,,28.306315789473686,33.0,,846.4,
101,2000-06-01,,28.24095238095238,33.0,,886.2,
102,2000-07-01,,27.845714285714287,28.0,,937.9,
103,2000-08-01,,27.737826086956524,28.0,,976.0,
104,2000-09-01,,27.798636363636366,28.0,,1012.2,
105,2000-10-01,,27.869999999999997,28.0,,1029.8,
106,2000-11-01,,27.80714285714286,25.0,,1068.2,
107,2000-12-01,,27.979523809523812,25.0,,1091.2,
108,2001-01-01,,28.367368421052632,25.0,418.9,1114.8,0.37576246860423396
109,2001-02-01,,28.594,25.0,379.7,1143.3,0.33210880783696317
110,2001-03-01,,28.67772727272727,25.0,387.6,1178.0,0.32903225806451614
111,2001-04-01,,28.85047619047619,25.0,399.0,1230.7,0.3242057365726822
112,2001-05-01,,29.027894736842104,25.0,435.0,1237.2,0.3516003879728419
113,2001-06-01,,29.114761904761902,25.0,438.0,1274.4,0.3436911487758945
114,2001-07-01,,29.22285714285714,25.0,474.3,1320.7,0.3591277352918907
115,2001-08-01,,29.34304347826087,25.0,490.3,1368.3,0.3583278520792224
116,2001-09-01,,29.43,25.0,506.8,1424.0,0.3558988764044944
117,2001-10-01,,29.53818181818182,25.0,530.6,1472.9,0.36024170004752526
118,2001-11-01,,29.79714285714286,25.0,531.0,1461.8,0.36325078670132716
119,2001-12-01,,30.099999999999998,25.0,526.8,1525.5,0.3453294001966568
