dataset;date;Базовый индекс потребительских цен, индекс, Россия
69798;31.01.2003;1.012
69798;28.02.2003;1.0088
69798;31.03.2003;1.0068
69798;30.04.2003;1.0063
69798;31.05.2003;1.0057
69798;30.06.2003;1.0063
69798;31.07.2003;1.0066
69798;31.08.2003;1.0074
69798;30.09.2003;1.0111
69798;31.10.2003;1.0143
69798;30.11.2003;1.0111
69798;31.12.2003;1.0098
69798;31.01.2004;1.0089
69798;29.02.2004;1.0077
69798;31.03.2004;1.0067
69798;30.04.2004;1.0082
69798;31.05.2004;1.0061
69798;30.06.2004;1.0045
69798;31.07.2004;1.0081
69798;31.08.2004;1.0068
69798;30.09.2004;1.0089
69798;31.10.2004;1.0126
69798;30.11.2004;1.011
69798;31.12.2004;1.0103
69798;31.01.2005;1.0087
69798;28.02.2005;1.0072
69798;31.03.2005;1.0081
69798;30.04.2005;1.0089
69798;31.05.2005;1.0061
69798;30.06.2005;1.0045
69798;31.07.2005;1.0052
69798;31.08.2005;1.0049
69798;30.09.2005;1.0081
69798;31.10.2005;1.0069
69798;30.11.2005;1.006
69798;31.12.2005;1.0058
69798;31.01.2006;1.0083
69798;28.02.2006;1.012
69798;31.03.2006;1.0072
69798;30.04.2006;1.0043
69798;31.05.2006;1.0036
69798;30.06.2006;1.003
69798;31.07.2006;1.0054
69798;31.08.2006;1.0062
69798;30.09.2006;1.0076
69798;31.10.2006;1.0052
69798;30.11.2006;1.0061
69798;31.12.2006;1.0069
69798;31.01.2007;1.0063
69798;28.02.2007;1.0051
69798;31.03.2007;1.0052
69798;30.04.2007;1.0053
69798;31.05.2007;1.003
69798;30.06.2007;1.0043
69798;31.07.2007;1.009
69798;31.08.2007;1.0107
69798;30.09.2007;1.0161
69798;31.10.2007;1.0208
69798;30.11.2007;1.0109
69798;31.12.2007;1.0085
69798;31.01.2008;1.0107
69798;29.02.2008;1.0099
69798;31.03.2008;1.0111
69798;30.04.2008;1.0126
69798;31.05.2008;1.0112
69798;30.06.2008;1.0094
69798;31.07.2008;1.0083
69798;31.08.2008;1.0099
69798;30.09.2008;1.0135
69798;31.10.2008;1.0132
69798;30.11.2008;1.0106
69798;31.12.2008;1.008
69798;31.01.2009;1.0126
69798;28.02.2009;1.0163
69798;31.03.2009;1.0136
69798;30.04.2009;1.0084
69798;31.05.2009;1.0045
69798;30.06.2009;1.003
69798;31.07.2009;1.003
69798;31.08.2009;1.0047
69798;30.09.2009;1.005
69798;31.10.2009;1.0027
69798;30.11.2009;1.0031
69798;31.12.2009;1.0036
69798;31.01.2010;1.0054
69798;28.02.2010;1.0047
69798;31.03.2010;1.0047
69798;30.04.2010;1.0023
69798;31.05.2010;1.0013
69798;30.06.2010;1.0017
69798;31.07.2010;1.0035
69798;31.08.2010;1.0074
69798;30.09.2010;1.0113
69798;31.10.2010;1.0075
69798;30.11.2010;1.0071
69798;31.12.2010;1.0074
69798;31.01.2011;1.0106
69798;28.02.2011;1.0072
69798;31.03.2011;1.0069
69798;30.04.2011;1.0053
69798;31.05.2011;1.0038
69798;30.06.2011;1.0032
69798;31.07.2011;1.0036
69798;31.08.2011;1.0041
69798;30.09.2011;1.0049
69798;31.10.2011;1.0054
69798;30.11.2011;1.005
69798;31.12.2011;1.0043
69798;31.01.2012;1.0049
69798;29.02.2012;1.004
69798;31.03.2012;1.0049
69798;30.04.2012;1.0036
69798;31.05.2012;1.0021
69798;30.06.2012;1.0036
69798;31.07.2012;1.0052
69798;31.08.2012;1.006
69798;30.09.2012;1.006
69798;31.10.2012;1.0058
69798;30.11.2012;1.0048
69798;31.12.2012;1.0042
69798;31.01.2013;1.005
69798;28.02.2013;1.004
69798;31.03.2013;1.0039
69798;30.04.2013;1.0043
69798;31.05.2013;1.0033
69798;30.06.2013;1.0029
69798;31.07.2013;1.0033
69798;31.08.2013;1.0051
69798;30.09.2013;1.0067
69798;31.10.2013;1.0061
69798;30.11.2013;1.0058
69798;31.12.2013;1.0039
69798;31.01.2014;1.0039
69798;28.02.2014;1.0049
69798;31.03.2014;1.0082
69798;30.04.2014;1.0087
69798;31.05.2014;1.0085
69798;30.06.2014;1.0077
69798;31.07.2014;1.0062
69798;31.08.2014;1.0064
69798;30.09.2014;1.0086
69798;31.10.2014;1.008
69798;30.11.2014;1.0102
69798;31.12.2014;1.0255
69798;31.01.2015;1.0352
69798;28.02.2015;1.0235
69798;31.03.2015;1.0147
69798;30.04.2015;1.008
69798;31.05.2015;1.0055
69798;30.06.2015;1.0044
69798;31.07.2015;1.0038
69798;31.08.2015;1.0078
69798;30.09.2015;1.008
69798;31.10.2015;1.0069
69798;30.11.2015;1.0057
69798;31.12.2015;1.0056
69798;31.01.2016;1.0082
69798;29.02.2016;1.0066
69798;31.03.2016;1.0062
69798;30.04.2016;1.005
69798;31.05.2016;1.0045
69798;30.06.2016;1.0041
69798;31.07.2016;1.0034
69798;31.08.2016;1.004
69798;30.09.2016;1.0051
69798;31.10.2016;1.0039
69798;30.11.2016;1.0038
69798;31.12.2016;1.0033
69798;31.01.2017;1.0036
69798;28.02.2017;1.0017
69798;31.03.2017;1.0015
69798;30.04.2017;1.0015
69798;31.05.2017;1.0012
69798;30.06.2017;1.0011
69798;31.07.2017;1.0013
69798;31.08.2017;1.0014
69798;30.09.2017;1.0031
69798;31.10.2017;1.0014
69798;30.11.2017;1.0015
69798;31.12.2017;1.0017
69798;31.01.2018;1.002
69798;28.02.2018;1.0011
69798;31.03.2018;1.0011
69798;30.04.2018;1.0025
69798;31.05.2018;1.0022
69798;30.06.2018;1.0034
69798;31.07.2018;1.0028
69798;31.08.2018;1.0034
69798;30.09.2018;1.0046
69798;31.10.2018;1.0043
69798;30.11.2018;1.0042
69798;31.12.2018;1.0047
69798;31.01.2019;1.0063
69798;28.02.2019;1.0036
69798;31.03.2019;1.0031
69798;30.04.2019;1.0026
69798;31.05.2019;1.0029
69798;30.06.2019;1.0023
69798;31.07.2019;1.002
69798;31.08.2019;1.0017
69798;30.09.2019;1.0015
69798;31.10.2019;1.0016
69798;30.11.2019;1.0022
69798;31.12.2019;1.0014
69798;31.01.2020;1.0017
69798;29.02.2020;1.0011
69798;31.03.2020;1.0051
69798;30.04.2020;1.005
69798;31.05.2020;1.0028
69798;30.06.2020;1.0027
69798;31.07.2020;1.0026
69798;31.08.2020;1.0032
69798;30.09.2020;1.003
69798;31.10.2020;1.0046
69798;30.11.2020;1.005
69798;31.12.2020;1.0046
69798;31.01.2021;1.005
69798;28.02.2021;1.0058
69798;31.03.2021;1.0083
69798;30.04.2021;1.0058
69798;31.05.2021;1.0082
69798;30.06.2021;1.0075
69798;31.07.2021;1.0047
69798;31.08.2021;1.0059
69798;30.09.2021;1.0081
69798;31.10.2021;1.0085
69798;30.11.2021;1.0114
69798;31.12.2021;1.0063
69798;31.01.2022;1.0082
69798;28.02.2022;1.0104
69798;31.03.2022;1.0905
69798;30.04.2022;1.0201
69798;31.05.2022;1.004
69798;30.06.2022;1.0018
69798;31.07.2022;0.9982
69798;31.08.2022;1
69798;30.09.2022;1.003
69798;31.10.2022;1.0003
69798;30.11.2022;1.0018
69798;31.12.2022;0.9997
69798;31.01.2023;1.003
69798;28.02.2023;1.0013
69798;31.03.2023;1.0037
69798;30.04.2023;1.0031
69798;31.05.2023;1.0052
69798;30.06.2023;1.0049
