dataset;date;Внешнеторговый оборот, Россия: импорт товаров|ежемесячные данные|в % к соответствующему периоду предыдущего года
62384;31.01.1999;47.8
62384;28.02.1999;50.3
62384;31.03.1999;54.7
62384;30.04.1999;54.2
62384;31.05.1999;51
62384;30.06.1999;69.3
62384;31.07.1999;58.9
62384;31.08.1999;63.4
62384;30.09.1999;103.5
62384;31.10.1999;115.7
62384;30.11.1999;117.7
62384;31.12.1999;114.3
62384;31.01.2000;107.4
62384;29.02.2000;116.2
62384;31.03.2000;105.6
62384;30.04.2000;103.3
62384;31.05.2000;118.2
62384;30.06.2000;90.9
62384;31.07.2000;111.2
62384;31.08.2000;121.4
62384;30.09.2000;119.5
62384;31.10.2000;122.3
62384;30.11.2000;125.7
62384;31.12.2000;122.5
62384;31.01.2001;112
62384;28.02.2001;109.3
62384;31.03.2001;117.7
62384;30.04.2001;128.7
62384;31.05.2001;134.4
62384;30.06.2001;130.4
62384;31.07.2001;123
62384;31.08.2001;122
62384;30.09.2001;112.1
62384;31.10.2001;116.4
62384;30.11.2001;116.3
62384;31.12.2001;117.5
62384;31.01.2002;113.8
62384;28.02.2002;106.8
62384;31.03.2002;108.2
62384;30.04.2002;117.7
62384;31.05.2002;102.4
62384;30.06.2002;105.8
62384;31.07.2002;123.3
62384;31.08.2002;111.5
62384;30.09.2002;122
62384;31.10.2002;122.2
62384;30.11.2002;113.5
62384;31.12.2002;113.2
62384;31.01.2003;128.5
62384;28.02.2003;130.2
62384;31.03.2003;129.5
62384;30.04.2003;120.9
62384;31.05.2003;126.4
62384;30.06.2003;122.6
62384;31.07.2003;123
62384;31.08.2003;124
62384;30.09.2003;126.5
62384;31.10.2003;120.5
62384;30.11.2003;118.1
62384;31.12.2003;129.9
62384;31.01.2004;117.5
62384;29.02.2004;126
62384;31.03.2004;129
62384;30.04.2004;124.4
62384;31.05.2004;124.3
62384;30.06.2004;129.9
62384;31.07.2004;124.4
62384;31.08.2004;130.6
62384;30.09.2004;127.7
