dataset;date;Ежемесячный импорт, млн долларов США, Россия
86988;31.01.1997;4704
86988;28.02.1997;4939
86988;31.03.1997;5522
86988;30.04.1997;6043
86988;31.05.1997;5391
86988;30.06.1997;5674
86988;31.07.1997;6319
86988;31.08.1997;5996
86988;30.09.1997;6077
86988;31.10.1997;6672
86988;30.11.1997;6340
86988;31.12.1997;8112
86988;31.01.1998;5603
86988;28.02.1998;5841
86988;31.03.1998;6320
86988;30.04.1998;6010
86988;31.05.1998;5612
86988;30.06.1998;5633
86988;31.07.1998;5449
86988;31.08.1998;4865
86988;30.09.1998;2995
86988;31.10.1998;2872
86988;30.11.1998;2895
86988;31.12.1998;3443
86988;31.01.1999;2525
86988;28.02.1999;2773
86988;31.03.1999;3259
86988;30.04.1999;3092
86988;31.05.1999;2723
86988;30.06.1999;3776
86988;31.07.1999;3044
86988;31.08.1999;2926
86988;30.09.1999;2949
86988;31.10.1999;3179
86988;30.11.1999;3260
86988;31.12.1999;3757
86988;31.01.2000;2719
86988;29.02.2000;3208
86988;31.03.2000;3421
86988;30.04.2000;3154
86988;31.05.2000;3165
86988;30.06.2000;3343
86988;31.07.2000;3373
86988;31.08.2000;3535
86988;30.09.2000;3510
86988;31.10.2000;3921
86988;30.11.2000;4131
86988;31.12.2000;4651
86988;31.01.2001;3048
86988;28.02.2001;3528
86988;31.03.2001;4058
86988;30.04.2001;4170
86988;31.05.2001;4375
86988;30.06.2001;4472
86988;31.07.2001;4217
86988;31.08.2001;4388
86988;30.09.2001;4000
86988;31.10.2001;4630
86988;30.11.2001;4884
86988;31.12.2001;5549
86988;31.01.2002;3515
86988;28.02.2002;3818
86988;31.03.2002;4450
86988;30.04.2002;4903
86988;31.05.2002;4480
86988;30.06.2002;4735
86988;31.07.2002;5250
86988;31.08.2002;4937
86988;30.09.2002;4936
86988;31.10.2002;5637
86988;30.11.2002;5512
86988;31.12.2002;6248
86988;31.01.2003;4554
86988;28.02.2003;5018
86988;31.03.2003;5804
86988;30.04.2003;5977
86988;31.05.2003;5713
86988;30.06.2003;5852
86988;31.07.2003;6436
86988;31.08.2003;6101
86988;30.09.2003;6218
86988;31.10.2003;6830
86988;30.11.2003;6548
86988;31.12.2003;8163
86988;31.01.2004;5363
86988;29.02.2004;6334
86988;31.03.2004;7506
86988;30.04.2004;7473
86988;31.05.2004;7122
86988;30.06.2004;7638
86988;31.07.2004;8078
86988;31.08.2004;8051
86988;30.09.2004;8026
86988;31.10.2004;8641
86988;30.11.2004;9155
86988;31.12.2004;10857
86988;31.01.2005;6934
86988;28.02.2005;8346
86988;31.03.2005;10020
86988;30.04.2005;9531
86988;31.05.2005;9451
86988;30.06.2005;9898
86988;31.07.2005;10722
86988;31.08.2005;10644
86988;30.09.2005;10719
86988;31.10.2005;11456
86988;30.11.2005;12294
86988;31.12.2005;13825
86988;31.01.2006;8311
86988;28.02.2006;10080
86988;31.03.2006;12353
86988;30.04.2006;11359
86988;31.05.2006;12921
86988;30.06.2006;14477
86988;31.07.2006;13479
86988;31.08.2006;14240
86988;30.09.2006;14342
86988;31.10.2006;15821
86988;30.11.2006;16180
86988;31.12.2006;19625
86988;31.01.2007;11655
86988;28.02.2007;14073
86988;31.03.2007;16884
86988;30.04.2007;16694
86988;31.05.2007;17453
86988;30.06.2007;18541
86988;31.07.2007;19332
86988;31.08.2007;19995
86988;30.09.2007;18693
86988;31.10.2007;22225
86988;30.11.2007;22610
86988;31.12.2007;24928
86988;31.01.2008;15558
86988;29.02.2008;20977
86988;31.03.2008;23238
86988;30.04.2008;25211
86988;31.05.2008;24286
86988;30.06.2008;25311
86988;31.07.2008;28686
86988;31.08.2008;27130
86988;30.09.2008;27230
86988;31.10.2008;26711
86988;30.11.2008;21076
86988;31.12.2008;23258
86988;31.01.2009;10280
86988;28.02.2009;13210
86988;31.03.2009;14230
86988;30.04.2009;14146
86988;31.05.2009;13115
86988;30.06.2009;14669
86988;31.07.2009;15213
86988;31.08.2009;14818
86988;30.09.2009;16811
86988;31.10.2009;18409
86988;30.11.2009;18442
86988;31.12.2009;20580
86988;31.01.2010;11142
86988;28.02.2010;15239
86988;31.03.2010;18436
86988;30.04.2010;18904
86988;31.05.2010;19053
