#Название: Ежемесячный экспорт, млн долларов США, Россия
#Частотность: Ежемесячные
#Дата последнего (предшествующего) обновления в первоисточнике: 14 июля 2024 г.
#Единицы измерения: млн долларов США
#https://data.vavt.ru/ru/analytiс_sets/dataset/86989/chart
#Источник: https://www.econdb.com
#
dataset;date;Ежемесячный экспорт, млн долларов США, Россия
86989;31.01.1997;6654
86989;28.02.1997;6433
86989;31.03.1997;7043
86989;30.04.1997;6743
86989;31.05.1997;6515
86989;30.06.1997;6730
86989;31.07.1997;7423
86989;31.08.1997;6874
86989;30.09.1997;6993
86989;31.10.1997;7763
86989;30.11.1997;8063
86989;31.12.1997;8711
86989;31.01.1998;5662
86989;28.02.1998;5638
86989;31.03.1998;6510
86989;30.04.1998;6066
86989;31.05.1998;5962
86989;30.06.1998;6339
86989;31.07.1998;6597
86989;31.08.1998;6118
86989;30.09.1998;6284
86989;31.10.1998;5825
86989;30.11.1998;5707
86989;31.12.1998;7034
86989;31.01.1999;4154
86989;28.02.1999;4536
86989;31.03.1999;5367
86989;30.04.1999;6017
86989;31.05.1999;4711
86989;30.06.1999;4953
86989;31.07.1999;5761
86989;31.08.1999;5655
86989;30.09.1999;5904
86989;31.10.1999;6483
86989;30.11.1999;7071
86989;31.12.1999;9044
86989;31.01.2000;6483
86989;29.02.2000;7574
86989;31.03.2000;8713
86989;30.04.2000;7761
86989;31.05.2000;7959
86989;30.06.2000;8206
86989;31.07.2000;8069
86989;31.08.2000;8569
86989;30.09.2000;8431
86989;31.10.2000;8403
86989;30.11.2000;9499
86989;31.12.2000;9553
86989;31.01.2001;7930
86989;28.02.2001;7821
86989;31.03.2001;8493
86989;30.04.2001;8036
86989;31.05.2001;8104
86989;30.06.2001;8703
86989;31.07.2001;7652
86989;31.08.2001;8557
86989;30.09.2001;8045
86989;31.10.2001;7544
86989;30.11.2001;7900
86989;31.12.2001;7770
86989;31.01.2002;6383
86989;28.02.2002;6331
86989;31.03.2002;8051
86989;30.04.2002;8994
86989;31.05.2002;8108
86989;30.06.2002;7783
86989;31.07.2002;8844
86989;31.08.2002;9490
86989;30.09.2002;9258
86989;31.10.2002;9457
86989;30.11.2002;8823
86989;31.12.2002;10546
86989;31.01.2003;9184
86989;28.02.2003;9409
86989;31.03.2003;11064
86989;30.04.2003;9528
86989;31.05.2003;9793
86989;30.06.2003;10422
86989;31.07.2003;10867
86989;31.08.2003;11428
86989;30.09.2003;11026
86989;31.10.2003;12032
86989;30.11.2003;10982
86989;31.12.2003;13325
86989;31.01.2004;10875
86989;29.02.2004;11673
86989;31.03.2004;13487
86989;30.04.2004;14201
86989;31.05.2004;13147
86989;30.06.2004;14351
86989;31.07.2004;15083
86989;31.08.2004;16371
86989;30.09.2004;15899
86989;31.10.2004;16732
86989;30.11.2004;17317
86989;31.12.2004;18724
86989;31.01.2005;13675
86989;28.02.2005;15867
86989;31.03.2005;19549
86989;30.04.2005;19515
86989;31.05.2005;20047
86989;30.06.2005;19131
86989;31.07.2005;21191
86989;31.08.2005;21378
86989;30.09.2005;21402
86989;31.10.2005;21831
86989;30.11.2005;21792
86989;31.12.2005;24647
86989;31.01.2006;20524
86989;28.02.2006;21449
86989;31.03.2006;24439
86989;30.04.2006;23652
86989;31.05.2006;26770
86989;30.06.2006;25137
86989;31.07.2006;25482
86989;31.08.2006;27853
86989;30.09.2006;25392
86989;31.10.2006;24049
86989;30.11.2006;24382
86989;31.12.2006;28354
86989;31.01.2007;21287
86989;28.02.2007;22945
86989;31.03.2007;25945
86989;30.04.2007;26994
86989;31.05.2007;28681
86989;30.06.2007;26194
86989;31.07.2007;29083
86989;31.08.2007;30318
86989;30.09.2007;27680
86989;31.10.2007;34437
86989;30.11.2007;35197
86989;31.12.2007;37769
86989;31.01.2008;33870
86989;29.02.2008;35095
86989;31.03.2008;39407
86989;30.04.2008;40525
86989;31.05.2008;42478
86989;30.06.2008;43024
86989;31.07.2008;46546
86989;31.08.2008;44952
86989;30.09.2008;42974
86989;31.10.2008;38383
86989;30.11.2008;29353
86989;31.12.2008;29692
86989;31.01.2009;18868
86989;28.02.2009;17419
86989;31.03.2009;21467
86989;30.04.2009;18836
86989;31.05.2009;21159
86989;30.06.2009;23573
86989;31.07.2009;26166
86989;31.08.2009;26805
86989;30.09.2009;28613
86989;31.10.2009;30162
86989;30.11.2009;30400
86989;31.12.2009;33687
86989;31.01.2010;26977
86989;28.02.2010;30094
86989;31.03.2010;32992
86989;30.04.2010;32693
86989;31.05.2010;31106
86989;30.06.2010;31554
86989;31.07.2010;30726
86989;31.08.2010;31260
86989;30.09.2010;33670
86989;31.10.2010;34589
86989;30.11.2010;34506
86989;31.12.2010;42507
86989;31.01.2011;29590
86989;28.02.2011;39623
86989;31.03.2011;42461
86989;30.04.2011;45803
86989;31.05.2011;44039
86989;30.06.2011;43656
86989;31.07.2011;41435
86989;31.08.2011;43842
86989;30.09.2011;43037
86989;31.10.2011;45247
86989;30.11.2011;46427
86989;31.12.2011;50248
86989;31.01.2012;39497
86989;29.02.2012;44877
86989;31.03.2012;46658
86989;30.04.2012;44903
86989;31.05.2012;45473
86989;30.06.2012;40810
86989;31.07.2012;41155
86989;31.08.2012;41119
86989;30.09.2012;42930
86989;31.10.2012;46540
86989;30.11.2012;45268
86989;31.12.2012;48203
86989;31.01.2013;38714
86989;28.02.2013;41763
86989;31.03.2013;44356
86989;30.04.2013;44333
86989;31.05.2013;40879
86989;30.06.2013;41707
86989;31.07.2013;43585
86989;31.08.2013;42399
86989;30.09.2013;44675
86989;31.10.2013;43390
86989;30.11.2013;46669
86989;31.12.2013;49366
86989;31.01.2014;39529
86989;28.02.2014;36339
86989;31.03.2014;46944
86989;30.04.2014;47522
86989;31.05.2014;43945
86989;30.06.2014;40600
86989;31.07.2014;46185
86989;31.08.2014;41413
86989;30.09.2014;38054
86989;31.10.2014;41502
86989;30.11.2014;36681
86989;31.12.2014;38093
86989;31.01.2015;27901
86989;28.02.2015;29401
86989;31.03.2015;32905
86989;30.04.2015;30715
86989;31.05.2015;30654
86989;30.06.2015;30088
86989;31.07.2015;27322
86989;31.08.2015;25034
86989;30.09.2015;26343
86989;31.10.2015;26964
86989;30.11.2015;25384
86989;31.12.2015;28708
86989;31.01.2016;17149
86989;29.02.2016;20135
86989;31.03.2016;23185
86989;30.04.2016;21750
86989;31.05.2016;22042
86989;30.06.2016;24038
86989;31.07.2016;22445
86989;31.08.2016;23105
86989;30.09.2016;25369
86989;31.10.2016;24751
86989;30.11.2016;26532
86989;31.12.2016;31209
86989;31.01.2017;25424
86989;28.02.2017;25820
86989;31.03.2017;31329
86989;30.04.2017;26049
86989;31.05.2017;28230
86989;30.06.2017;29515
86989;31.07.2017;24634
86989;31.08.2017;29056
86989;30.09.2017;30751
86989;31.10.2017;31523
86989;30.11.2017;33421
86989;31.12.2017;37191
86989;31.01.2018;33620
86989;28.02.2018;31305
86989;31.03.2018;36638
86989;30.04.2018;36013
86989;31.05.2018;36542
86989;30.06.2018;36328
86989;31.07.2018;34367
86989;31.08.2018;37524
86989;30.09.2018;38678
86989;31.10.2018;41349
86989;30.11.2018;40277
86989;31.12.2018;41273
86989;31.01.2019;30844
86989;28.02.2019;34738
86989;31.03.2019;37039
86989;30.04.2019;36693
86989;31.05.2019;32480
86989;30.06.2019;32377
86989;31.07.2019;33371
86989;31.08.2019;34295
86989;30.09.2019;35485
86989;31.10.2019;37010
86989;30.11.2019;35766
86989;31.12.2019;39623
86989;31.01.2020;30588
86989;29.02.2020;28682
86989;31.03.2020;29970
86989;30.04.2020;24977
86989;31.05.2020;20986
86989;30.06.2020;24483
86989;31.07.2020;24643
86989;31.08.2020;23273
86989;30.09.2020;31005
86989;31.10.2020;28607
86989;30.11.2020;30154
86989;31.12.2020;36162
86989;31.01.2021;26679
86989;28.02.2021;30318
86989;31.03.2021;36309
86989;30.04.2021;36504
86989;31.05.2021;34858
86989;30.06.2021;43266
86989;31.07.2021;43403
86989;31.08.2021;43271
86989;30.09.2021;45424
86989;31.10.2021;46955
86989;30.11.2021;49026
86989;31.12.2021;58148
86989;31.01.2022;47023
86989;28.02.2022;51473
86989;31.03.2022;56062
86989;30.04.2022;48307
86989;31.05.2022;49618
86989;30.06.2022;53898
86989;31.07.2022;45960
86989;31.08.2022;48927
86989;30.09.2022;46779
86989;31.10.2022;44108
86989;30.11.2022;45076
86989;31.12.2022;54844
86989;31.01.2023;33562
86989;28.02.2023;30586
86989;31.03.2023;40946
86989;30.04.2023;31578
86989;31.05.2023;37363
86989;30.06.2023;34467
86989;31.07.2023;31662
86989;31.08.2023;37146
86989;30.09.2023;40291
86989;31.10.2023;34330
86989;30.11.2023;33824
86989;31.12.2023;38728
86989;31.01.2024;28344
86989;29.02.2024;31251
86989;31.03.2024;41299
86989;30.04.2024;33559
86989;31.05.2024;37124
