dataset;date;Инвестиции в основной капитал организаций (без субъектов малого предпринимательства) по источникам финансирования, Россия: привлеченные средства|квартальные данные
62368;31.03.1999;33.2
62368;30.06.1999;49.7
62368;30.09.1999;76.4
62368;31.12.1999;117.9
62368;31.03.2000;63.6
62368;30.06.2000;106.1
62368;30.09.2000;169.2
62368;31.12.2000;214.2
62368;31.03.2001;99.2
62368;30.06.2001;159.6
62368;30.09.2001;186.3
62368;31.12.2001;230.5
62368;31.03.2002;97.1
62368;30.06.2002;174.3
62368;30.09.2002;213.9
62368;31.12.2002;315.8
62368;31.03.2003;135.8
62368;30.06.2003;234.1
62368;30.09.2003;254.7
62368;31.12.2003;375.2
62368;31.03.2004;186.1
62368;30.06.2004;224.9
62368;30.09.2004;307.9
62368;31.12.2004;485.4
62368;31.03.2005;213.8
62368;30.06.2005;307.1
62368;30.09.2005;362.4
62368;31.12.2005;722.7
62368;31.03.2006;242
62368;30.06.2006;400
62368;30.09.2006;529.5
62368;31.12.2006;1033.9
62368;31.03.2007;371.6
62368;30.06.2007;610.7
62368;30.09.2007;802.2
62368;31.12.2007;1327.6
62368;31.03.2008;459.1
62368;30.06.2008;769.8
62368;30.09.2008;1012.2
62368;31.12.2008;1815.8
62368;31.03.2009;552
62368;30.06.2009;758.2
62368;30.09.2009;915.4
62368;31.12.2009;1571.9
62368;31.03.2010;440
62368;30.06.2010;720.7
62368;30.09.2010;954.1
62368;31.12.2010;1795.2
62368;31.03.2011;492
62368;30.06.2011;936.5
62368;30.09.2011;1077.5
62368;31.12.2011;2399.7
62368;31.03.2012;597.7
62368;30.06.2012;993.3
62368;30.09.2012;1266.1
62368;31.12.2012;2464
62368;31.03.2013;616.3
62368;30.06.2013;1061.8
62368;30.09.2013;1228.4
62368;31.12.2013;2609.3
62368;31.03.2014;653.2
62368;30.06.2014;1047.5
62368;30.09.2014;1321.7
62368;31.12.2014;2606.3
62368;31.03.2015;625.5
62368;30.06.2015;964.6
62368;30.09.2015;1258.7
62368;31.12.2015;2376.4
62368;31.03.2016;656.9
62368;30.06.2016;1046.8
62368;30.09.2016;1446.4
62368;31.12.2016;2381.7
62368;31.03.2017;716.4
62368;30.06.2017;1176.9
62368;30.09.2017;1450
62368;31.12.2017;2628.2
62368;31.03.2018;676.2
62368;30.06.2018;1179.9
62368;30.09.2018;1630.3
62368;31.12.2018;2924.8
62368;31.03.2019;724.3
62368;30.06.2019;1284.7
62368;30.09.2019;1472.2
62368;31.12.2019;3145.1
62368;31.03.2020;791.1
62368;30.06.2020;1349.2
62368;30.09.2020;1527.8
62368;31.12.2020;3244.4
62368;31.03.2021;910.8
62368;30.06.2021;1509.4
62368;30.09.2021;1794.4
62368;31.12.2021;3582
62368;31.03.2022;1239.3
62368;30.06.2022;2051.6
62368;30.09.2022;2312.9
62368;31.12.2022;4640
62368;31.03.2023;1496.5
62368;30.06.2023;2302.7
62368;30.09.2023;2845.8
62368;31.12.2023;4802.700000000001
62368;31.03.2024;1847.8
