#Название: Инвестиции в основной капитал, Россия #duplicate
#Частотность: Ежемесячные, Ежеквартальные, Ежегодные
#Дата последнего (предшествующего) обновления в первоисточнике: 15 июля 2024 г.
#Единицы измерения: %, млрд. рублей
#https://data.vavt.ru/ru/analytiс_sets/dataset/86305/chart
#Источник: https://rosstat.gov.ru/compendium/document/50802
#
dataset;date;Инвестиции в основной капитал, Россия #duplicate: ежемесячные данные|в % к соответствующему периоду предыдущего года
86305;31.01.1999;92.2
86305;28.02.1999;93.8
86305;31.03.1999;95.1
86305;30.04.1999;94.7
86305;31.05.1999;99.2
86305;30.06.1999;102.9
86305;31.07.1999;102.1
86305;31.08.1999;101.9
86305;30.09.1999;111.1
86305;31.10.1999;114.8
86305;30.11.1999;112.1
86305;31.12.1999;122.6
86305;31.01.2000;107.9
86305;29.02.2000;116.1
86305;31.03.2000;115.7
86305;30.04.2000;116.5
86305;31.05.2000;122.1
86305;30.06.2000;120
86305;31.07.2000;116.9
86305;31.08.2000;122.5
86305;30.09.2000;119.6
86305;31.10.2000;118.2
86305;30.11.2000;118.5
86305;31.12.2000;113.4
86305;31.01.2001;109.4
86305;28.02.2001;106.6
86305;31.03.2001;105.6
86305;30.04.2001;108.4
86305;31.05.2001;112.8
86305;30.06.2001;107.7
86305;31.07.2001;109.1
86305;31.08.2001;109.7
86305;30.09.2001;110.8
86305;31.10.2001;112.4
86305;30.11.2001;110.2
86305;31.12.2001;112.8
86305;31.01.2002;100.1
86305;28.02.2002;100.1
86305;31.03.2002;103.4
86305;30.04.2002;103.7
86305;31.05.2002;103.3
86305;30.06.2002;103.5
86305;31.07.2002;104.1
86305;31.08.2002;101.5
86305;30.09.2002;102.8
86305;31.10.2002;103.2
86305;30.11.2002;102.9
86305;31.12.2002;103.2
86305;31.01.2003;107.9
86305;28.02.2003;111.1
86305;31.03.2003;110.9
86305;30.04.2003;112.6
86305;31.05.2003;114.9
86305;30.06.2003;111.8
86305;31.07.2003;111.4
86305;31.08.2003;111.6
86305;30.09.2003;112.4
86305;31.10.2003;112.5
86305;30.11.2003;112.6
86305;31.12.2003;115
86305;31.01.2004;117.5
86305;29.02.2004;119.6
86305;31.03.2004;118.1
86305;30.04.2004;116
86305;31.05.2004;115.7
86305;30.06.2004;118.6
86305;31.07.2004;110.9
86305;31.08.2004;114.4
86305;30.09.2004;110.1
86305;31.10.2004;108.2
86305;30.11.2004;114.7
86305;31.12.2004;110.8
86305;31.01.2005;103.5
86305;28.02.2005;107.2
86305;31.03.2005;107.7
86305;30.04.2005;108.9
86305;31.05.2005;104.9
86305;30.06.2005;111.1
86305;31.07.2005;113.6
86305;31.08.2005;109.1
86305;30.09.2005;111.7
86305;31.10.2005;111.3
86305;30.11.2005;117.2
86305;31.12.2005;114.2
86305;31.01.2006;106.6
86305;28.02.2006;105
86305;31.03.2006;113.7
86305;30.04.2006;112.8
86305;31.05.2006;121.9
86305;30.06.2006;117.8
86305;31.07.2006;111.8
86305;31.08.2006;116.7
86305;30.09.2006;119.3
86305;31.10.2006;123.8
86305;30.11.2006;117.6
86305;31.12.2006;120
86305;31.01.2007;127.6
86305;28.02.2007;121.1
86305;31.03.2007;114.7
86305;30.04.2007;119.4
86305;31.05.2007;121.1
86305;30.06.2007;122.7
86305;31.07.2007;123.2
86305;31.08.2007;115.1
86305;30.09.2007;113.2
86305;31.10.2007;126.7
86305;30.11.2007;124.5
86305;31.12.2007;132.1
86305;31.01.2008;120.9
86305;29.02.2008;126.1
86305;31.03.2008;123
86305;30.04.2008;125
86305;31.05.2008;119.1
86305;30.06.2008;111.6
86305;31.07.2008;110.8
86305;31.08.2008;110.5
86305;30.09.2008;115.4
86305;31.10.2008;106.9
86305;30.11.2008;99.7
86305;31.12.2008;93.5
86305;31.01.2009;81.3
86305;28.02.2009;83.8
86305;31.03.2009;80.9
86305;30.04.2009;80.4
86305;31.05.2009;76.3
86305;30.06.2009;80.6
86305;31.07.2009;81.9
86305;31.08.2009;81.7
86305;30.09.2009;83.1
86305;31.10.2009;84
86305;30.11.2009;90.3
86305;31.12.2009;95.4
86305;31.01.2010;91.7
86305;28.02.2010;92.5
86305;31.03.2010;100.4
86305;30.04.2010;101.7
86305;31.05.2010;105.6
86305;30.06.2010;108.3
86305;31.07.2010;99.5
86305;31.08.2010;108.1
86305;30.09.2010;107.8
86305;31.10.2010;110.6
86305;30.11.2010;108
86305;31.12.2010;113.3
86305;31.01.2011;100.9
86305;28.02.2011;104.6
86305;31.03.2011;105.4
86305;30.04.2011;105.8
86305;31.05.2011;109.4
86305;30.06.2011;107.9
86305;31.07.2011;110.7
86305;31.08.2011;112.1
86305;30.09.2011;111
86305;31.10.2011;116.3
86305;30.11.2011;112.8
86305;31.12.2011;115.3
86305;31.01.2012;116.3
86305;29.02.2012;116
86305;31.03.2012;110.6
86305;30.04.2012;108.4
86305;31.05.2012;113.9
86305;30.06.2012;109.3
86305;31.07.2012;110.2
86305;31.08.2012;106.2
86305;30.09.2012;101.2
86305;31.10.2012;109.4
86305;30.11.2012;102.9
86305;31.12.2012;99.9
86305;31.01.2013;104
86305;28.02.2013;101.1
86305;31.03.2013;102.8
86305;30.04.2013;101.7
86305;31.05.2013;99.4
86305;30.06.2013;99.9
86305;31.07.2013;102
86305;31.08.2013;98.8
86305;30.09.2013;98.5
86305;31.10.2013;99.8
86305;30.11.2013;104.7
86305;31.12.2013;99.8
86305;31.01.2014;94.1
86305;28.02.2014;97.6
86305;31.03.2014;98.2
86305;30.04.2014;99.6
86305;31.05.2014;100.9
86305;30.06.2014;100.1
86305;31.07.2014;101.3
86305;31.08.2014;98
