dataset;date;Индекс промышленного производства, Россия: ежемесячные данные|в % к соответствующему периоду предыдущего года
62298;31.01.2000;110.6
62298;29.02.2000;113.3
62298;31.03.2000;107.6
62298;30.04.2000;117.7
62298;31.05.2000;110.8
62298;30.06.2000;111.6
62298;31.07.2000;108.5
62298;31.08.2000;110.3
62298;30.09.2000;106.2
62298;31.10.2000;111.2
62298;30.11.2000;109
62298;31.12.2000;93.5
62298;31.01.2001;100.4
62298;28.02.2001;100.5
62298;31.03.2001;102.3
62298;30.04.2001;94.5
62298;31.05.2001;106.9
62298;30.06.2001;104.2
62298;31.07.2001;104.8
62298;31.08.2001;104.2
62298;30.09.2001;104.6
62298;31.10.2001;106.6
62298;30.11.2001;105.7
62298;31.12.2001;101.6
62298;31.01.2002;103.7
62298;28.02.2002;102.9
62298;31.03.2002;102.6
62298;30.04.2002;103.7
62298;31.05.2002;99.5
62298;30.06.2002;102.1
62298;31.07.2002;105.6
62298;31.08.2002;105.3
62298;30.09.2002;104.3
62298;31.10.2002;103.2
62298;30.11.2002;100.7
62298;31.12.2002;104
62298;31.01.2003;105.4
62298;28.02.2003;108.3
62298;31.03.2003;109.5
62298;30.04.2003;110.2
62298;31.05.2003;110.4
62298;30.06.2003;109.1
62298;31.07.2003;108
62298;31.08.2003;105.7
62298;30.09.2003;109.1
62298;31.10.2003;107.9
62298;30.11.2003;109
62298;31.12.2003;113.6
62298;31.01.2004;107.6
62298;29.02.2004;110.7
62298;31.03.2004;107.5
62298;30.04.2004;106.7
62298;31.05.2004;107.7
62298;30.06.2004;110.4
62298;31.07.2004;107.4
62298;31.08.2004;110.7
62298;30.09.2004;106.9
62298;31.10.2004;104.6
62298;30.11.2004;109.1
62298;31.12.2004;106.9
62298;31.01.2005;103.2
62298;28.02.2005;106.2
62298;31.03.2005;105.2
62298;30.04.2005;104.9
62298;31.05.2005;103.2
62298;30.06.2005;106.3
62298;31.07.2005;105
62298;31.08.2005;104.9
62298;30.09.2005;106.3
62298;31.10.2005;105.7
62298;30.11.2005;106.3
62298;31.12.2005;104.3
62298;31.01.2006;104.8
62298;28.02.2006;101.3
62298;31.03.2006;106
62298;30.04.2006;104.2
62298;31.05.2006;110.9
62298;30.06.2006;104.9
62298;31.07.2006;106.5
62298;31.08.2006;108.2
62298;30.09.2006;106.8
62298;31.10.2006;108.6
62298;30.11.2006;107.3
62298;31.12.2006;105.6
62298;31.01.2007;109.7
62298;28.02.2007;107.1
62298;31.03.2007;106.8
62298;30.04.2007;106.9
62298;31.05.2007;106.9
62298;30.06.2007;107.3
62298;31.07.2007;109.1
62298;31.08.2007;106.4
62298;30.09.2007;104.8
62298;31.10.2007;105.7
62298;30.11.2007;106.1
62298;31.12.2007;105
62298;31.01.2008;106.7
62298;29.02.2008;108.1
62298;31.03.2008;103.5
62298;30.04.2008;105.7
62298;31.05.2008;104.5
62298;30.06.2008;102.8
62298;31.07.2008;101.9
62298;31.08.2008;101
62298;30.09.2008;102.8
62298;31.10.2008;98.4
62298;30.11.2008;87.5
62298;31.12.2008;87.2
62298;31.01.2009;81.7
62298;28.02.2009;82.5
62298;31.03.2009;85.7
62298;30.04.2009;85
62298;31.05.2009;84.3
62298;30.06.2009;87
62298;31.07.2009;88
62298;31.08.2009;86.9
62298;30.09.2009;89.3
62298;31.10.2009;92.6
62298;30.11.2009;103.6
62298;31.12.2009;107.5
62298;31.01.2010;108.5
62298;28.02.2010;107.3
62298;31.03.2010;109.3
62298;30.04.2010;107.4
62298;31.05.2010;108.1
62298;30.06.2010;107.3
62298;31.07.2010;104.6
62298;31.08.2010;106.9
62298;30.09.2010;106.2
62298;31.10.2010;107.2
62298;30.11.2010;107.4
62298;31.12.2010;107.2
62298;31.01.2011;106.2
62298;28.02.2011;105.3
62298;31.03.2011;103.7
62298;30.04.2011;105.5
62298;31.05.2011;106.2
62298;30.06.2011;106.5
62298;31.07.2011;105.5
62298;31.08.2011;106
62298;30.09.2011;104.6
62298;31.10.2011;103.3
62298;30.11.2011;103.9
62298;31.12.2011;104.1
62298;31.01.2012;103.6
62298;29.02.2012;106.8
62298;31.03.2012;103.2
62298;30.04.2012;102.3
62298;31.05.2012;103.3
62298;30.06.2012;101.5
62298;31.07.2012;103.6
62298;31.08.2012;104.4
62298;30.09.2012;102.3
62298;31.10.2012;103.5
62298;30.11.2012;103.3
62298;31.12.2012;102.8
62298;31.01.2013;99.6
62298;28.02.2013;96.9
62298;31.03.2013;99.9
62298;30.04.2013;101.1
62298;31.05.2013;99.5
62298;30.06.2013;101.7
62298;31.07.2013;100.8
62298;31.08.2013;99.8
62298;30.09.2013;101.3
62298;31.10.2013;101
62298;30.11.2013;102.8
62298;31.12.2013;100.4
62298;31.01.2014;101.1
62298;28.02.2014;103
62298;31.03.2014;99.1
62298;30.04.2014;102.2
62298;31.05.2014;99.2
62298;30.06.2014;102.9
62298;31.07.2014;102.7
62298;31.08.2014;102.9
62298;30.09.2014;104.2
62298;31.10.2014;105.4
62298;30.11.2014;101.5
62298;31.12.2014;105.3
62298;31.01.2015;101.3
62298;28.02.2015;99.8
62298;31.03.2015;101.9
62298;30.04.2015;99.4
62298;31.05.2015;99
62298;30.06.2015;100.1
62298;31.07.2015;100.2
62298;31.08.2015;100.7
62298;30.09.2015;100.5
62298;31.10.2015;100.2
62298;30.11.2015;100.8
62298;31.12.2015;99
62298;31.01.2016;99.1
62298;29.02.2016;102
62298;31.03.2016;100.9
62298;30.04.2016;99.8
62298;31.05.2016;100.4
62298;30.06.2016;101.1
62298;31.07.2016;100.4
62298;31.08.2016;102.2
62298;30.09.2016;102.5
62298;31.10.2016;103
62298;30.11.2016;105.2
62298;31.12.2016;103.9
62298;31.01.2017;106.6
62298;28.02.2017;101.6
62298;31.03.2017;103.6
62298;30.04.2017;104.3
62298;31.05.2017;106.3
62298;30.06.2017;105.5
62298;31.07.2017;104.6
62298;31.08.2017;105.1
62298;30.09.2017;104
62298;31.10.2017;102.3
62298;30.11.2017;101.1
62298;31.12.2017;100.3
62298;31.01.2018;102.7
62298;28.02.2018;103.2
62298;31.03.2018;102.7
62298;30.04.2018;103.2
62298;31.05.2018;103.5
62298;30.06.2018;102.1
62298;31.07.2018;103.5
62298;31.08.2018;102.8
62298;30.09.2018;102.3
62298;31.10.2018;105.3
62298;30.11.2018;104.4
