dataset;date;Оборот розничной торговли, Россия: ежемесячные данные|в % к соответствующему периоду предыдущего года (в сопоставимых ценах)|Всего
62414;31.01.1999;84
62414;28.02.1999;89.2
62414;31.03.1999;91.4
62414;30.04.1999;88.9
62414;31.05.1999;89.7
62414;30.06.1999;91.3
62414;31.07.1999;89.2
62414;31.08.1999;88.8
62414;30.09.1999;92.2
62414;31.10.1999;101.9
62414;30.11.1999;101.9
62414;31.12.1999;105.6
62414;31.01.2000;107.6
62414;29.02.2000;108.7
62414;31.03.2000;108.4
62414;30.04.2000;109.1
62414;31.05.2000;108.4
62414;30.06.2000;108.7
62414;31.07.2000;110.2
62414;31.08.2000;109.3
62414;30.09.2000;108.8
62414;31.10.2000;109
62414;30.11.2000;109.9
62414;31.12.2000;109.4
62414;31.01.2001;106.6
62414;28.02.2001;108
62414;31.03.2001;108.9
62414;30.04.2001;111
62414;31.05.2001;112.8
62414;30.06.2001;112
62414;31.07.2001;111.4
62414;31.08.2001;112.2
62414;30.09.2001;111.6
62414;31.10.2001;112.7
62414;30.11.2001;112.2
62414;31.12.2001;111.3
62414;31.01.2002;110.2
62414;28.02.2002;109.1
62414;31.03.2002;109.7
62414;30.04.2002;109.9
62414;31.05.2002;106.4
62414;30.06.2002;107.9
62414;31.07.2002;110.7
62414;31.08.2002;109.1
62414;30.09.2002;110
62414;31.10.2002;110.1
62414;30.11.2002;109.7
62414;31.12.2002;109.3
62414;31.01.2003;109.4
62414;28.02.2003;109.6
62414;31.03.2003;110.6
62414;30.04.2003;109.4
62414;31.05.2003;110.7
62414;30.06.2003;109.3
62414;31.07.2003;108.4
62414;31.08.2003;106.6
62414;30.09.2003;107.5
62414;31.10.2003;107.7
62414;30.11.2003;107.6
62414;31.12.2003;108.8
62414;31.01.2004;110.8
62414;29.02.2004;112.1
62414;31.03.2004;112.2
62414;30.04.2004;112.8
62414;31.05.2004;113
62414;30.06.2004;112.7
62414;31.07.2004;113.6
62414;31.08.2004;113.7
62414;30.09.2004;113.5
62414;31.10.2004;114.2
62414;30.11.2004;115
62414;31.12.2004;115.1
62414;31.01.2005;110.1
62414;28.02.2005;110.6
62414;31.03.2005;110.9
62414;30.04.2005;113.5
62414;31.05.2005;114.4
62414;30.06.2005;113.6
62414;31.07.2005;112.8
62414;31.08.2005;113.2
62414;30.09.2005;113.8
62414;31.10.2005;113
62414;30.11.2005;112.3
62414;31.12.2005;114.9
62414;31.01.2006;111.5
62414;28.02.2006;110.8
62414;31.03.2006;112
62414;30.04.2006;112.1
62414;31.05.2006;113.3
62414;30.06.2006;115.5
62414;31.07.2006;115.8
62414;31.08.2006;115.5
62414;30.09.2006;114.6
62414;31.10.2006;115.5
62414;30.11.2006;114.9
62414;31.12.2006;115.7
62414;31.01.2007;114.7
62414;28.02.2007;115
62414;31.03.2007;114.6
62414;30.04.2007;115.1
62414;31.05.2007;115.9
62414;30.06.2007;116.3
62414;31.07.2007;116.2
62414;31.08.2007;117.4
62414;30.09.2007;116.8
62414;31.10.2007;115.9
62414;30.11.2007;116.5
62414;31.12.2007;117.7
62414;31.01.2008;117
62414;29.02.2008;118.8
62414;31.03.2008;116.6
62414;30.04.2008;115
62414;31.05.2008;115.4
62414;30.06.2008;114.8
62414;31.07.2008;115.7
62414;31.08.2008;114.8
62414;30.09.2008;115
62414;31.10.2008;113.1
62414;30.11.2008;108.7
62414;31.12.2008;105.5
62414;31.01.2009;104.7
62414;28.02.2009;99.1
62414;31.03.2009;97.7
62414;30.04.2009;95.6
62414;31.05.2009;94.8
62414;30.06.2009;94
62414;31.07.2009;92.5
62414;31.08.2009;90.8
62414;30.09.2009;90.2
62414;31.10.2009;91.7
62414;30.11.2009;93.9
62414;31.12.2009;96.8
62414;31.01.2010;100.8
62414;28.02.2010;102
62414;31.03.2010;104.2
62414;30.04.2010;106
62414;31.05.2010;107.1
62414;30.06.2010;108
62414;31.07.2010;108.9
62414;31.08.2010;109.2
62414;30.09.2010;107.7
62414;31.10.2010;107.5
62414;30.11.2010;108.2
62414;31.12.2010;107.1
62414;31.01.2011;103.9
62414;28.02.2011;106
62414;31.03.2011;105.2
62414;30.04.2011;105.5
62414;31.05.2011;105.9
62414;30.06.2011;105.9
62414;31.07.2011;106.1
62414;31.08.2011;108.2
62414;30.09.2011;109.3
62414;31.10.2011;109.1
62414;30.11.2011;108.5
62414;31.12.2011;109.4
62414;31.01.2012;107.5
62414;29.02.2012;108.3
62414;31.03.2012;107.8
62414;30.04.2012;107
62414;31.05.2012;107.6
62414;30.06.2012;107.7
62414;31.07.2012;106.2
62414;31.08.2012;105.3
62414;30.09.2012;105.3
62414;31.10.2012;104.7
62414;30.11.2012;105
62414;31.12.2012;105
62414;31.01.2013;104.5
62414;28.02.2013;103.1
62414;31.03.2013;104.5
62414;30.04.2013;104.3
62414;31.05.2013;103.4
62414;30.06.2013;103.8
62414;31.07.2013;104.5
62414;31.08.2013;104.2
62414;30.09.2013;103.2
62414;31.10.2013;103.3
62414;30.11.2013;104.1
62414;31.12.2013;103.5
62414;31.01.2014;102.8
62414;28.02.2014;104.3
62414;31.03.2014;104.5
62414;30.04.2014;103
62414;31.05.2014;102.4
62414;30.06.2014;101.1
62414;31.07.2014;101.6
62414;31.08.2014;101.6
62414;30.09.2014;101.8
62414;31.10.2014;101.7
62414;30.11.2014;101.9
62414;31.12.2014;105.1
62414;31.01.2015;95.6
62414;28.02.2015;92.5
62414;31.03.2015;91
62414;30.04.2015;90.1
62414;31.05.2015;90.5
62414;30.06.2015;90.3
62414;31.07.2015;90.4
62414;31.08.2015;90.5
62414;30.09.2015;89.3
62414;31.10.2015;88.7
62414;30.11.2015;87.8
62414;31.12.2015;85.9
62414;31.01.2016;93.8
62414;29.02.2016;96.3
62414;31.03.2016;94.9
62414;30.04.2016;95.7
62414;31.05.2016;94.7
62414;30.06.2016;95
62414;31.07.2016;94
62414;31.08.2016;96.5
62414;30.09.2016;96.4
62414;31.10.2016;95.3
62414;30.11.2016;95.3
62414;31.12.2016;94.4
62414;31.01.2017;98
62414;28.02.2017;97.2
62414;31.03.2017;100
62414;30.04.2017;100.3
62414;31.05.2017;101.1
62414;30.06.2017;101.4
62414;31.07.2017;102.6
62414;31.08.2017;100.4
62414;30.09.2017;103.1
62414;31.10.2017;103.4
62414;30.11.2017;103.1
62414;31.12.2017;103.3
62414;31.01.2018;103
62414;28.02.2018;102.1
62414;31.03.2018;103
62414;30.04.2018;103.2
62414;31.05.2018;102.9
62414;30.06.2018;103.4
62414;31.07.2018;102.8
62414;31.08.2018;103
62414;30.09.2018;102.3
62414;31.10.2018;102.2
62414;30.11.2018;103.3
62414;31.12.2018;102.7
62414;31.01.2019;102.2
62414;28.02.2019;102.3
62414;31.03.2019;102.4
62414;30.04.2019;102
62414;31.05.2019;101.9
62414;30.06.2019;101.8
62414;31.07.2019;101.5
62414;31.08.2019;101.1
62414;30.09.2019;100.9
62414;31.10.2019;101.9
62414;30.11.2019;102.6
62414;31.12.2019;101.8
62414;31.01.2020;102.8
62414;29.02.2020;104.9
62414;31.03.2020;106.9
62414;30.04.2020;78
62414;31.05.2020;82.5
62414;30.06.2020;93.9
62414;31.07.2020;99.5
62414;31.08.2020;99.3
62414;30.09.2020;98.8
62414;31.10.2020;99.6
62414;30.11.2020;97.6
62414;31.12.2020;97.8
62414;31.01.2021;101.1
62414;28.02.2021;99.3
62414;31.03.2021;97.5
62414;30.04.2021;136.3
62414;31.05.2021;128
62414;30.06.2021;111.5
62414;31.07.2021;105.7
