dataset;date;Объем вкладов (депозитов) и прочих привлеченных средств физических лиц, Россия: объем вкладов (депозитов) и прочих привлеченных средств физических лиц - всего
62289;31.01.1999;200.1
62289;28.02.1999;211.6
62289;31.03.1999;219
62289;30.04.1999;223.9
62289;31.05.1999;230.8
62289;30.06.1999;235
62289;31.07.1999;242.6
62289;31.08.1999;248.3
62289;30.09.1999;253.3
62289;31.10.1999;258.7
62289;30.11.1999;267.8
62289;31.12.1999;276.3
62289;31.01.2000;297.2
62289;29.02.2000;311.6
62289;31.03.2000;323.4
62289;30.04.2000;333.7
62289;31.05.2000;346.6
62289;30.06.2000;359
62289;31.07.2000;375.4
62289;31.08.2000;387.3
62289;30.09.2000;397.8
62289;31.10.2000;407.9
62289;30.11.2000;416.9
62289;31.12.2000;432.8
62289;31.01.2001;445.8
62289;28.02.2001;458.4
62289;31.03.2001;476.1
62289;30.04.2001;493
62289;31.05.2001;512.4
62289;30.06.2001;525.4
62289;31.07.2001;545.7
62289;31.08.2001;565.3
62289;30.09.2001;582.5
62289;31.10.2001;600
62289;30.11.2001;619
62289;31.12.2001;641.8
62289;31.01.2002;678.5
62289;28.02.2002;706.2
62289;31.03.2002;731.6
62289;30.04.2002;758
62289;31.05.2002;793.1
62289;30.06.2002;812.1
62289;31.07.2002;844
62289;31.08.2002;872.5
62289;30.09.2002;898
62289;31.10.2002;922.3
62289;30.11.2002;954.8
62289;31.12.2002;986.1
62289;31.01.2003;1030.8
62289;28.02.2003;1079.8
62289;31.03.2003;1113.1
62289;30.04.2003;1141.7
62289;31.05.2003;1184.5
62289;30.06.2003;1216.2
62289;31.07.2003;1255.3
62289;31.08.2003;1296.7
62289;30.09.2003;1333.5
62289;31.10.2003;1370.9
62289;30.11.2003;1394.1
62289;31.12.2003;1434.3
62289;31.01.2004;1519.5
62289;29.02.2004;1565.6
62289;31.03.2004;1622.4
62289;30.04.2004;1665.9
62289;31.05.2004;1729
62289;30.06.2004;1753.7
62289;31.07.2004;1777.5
62289;31.08.2004;1764.5
62289;30.09.2004;1783.3
