dataset;date;Просроченная задолженность по заработной плате на начало месяца, Россия: млн. рублей
86369;31.01.1999;77017
86369;28.02.1999;76038
86369;31.03.1999;72635
86369;30.04.1999;67686
86369;31.05.1999;63108
86369;30.06.1999;61053
86369;31.07.1999;58964
86369;31.08.1999;59147
86369;30.09.1999;56155
86369;31.10.1999;54639
86369;30.11.1999;53119
86369;31.12.1999;50869
86369;31.01.2000;43741
86369;29.02.2000;44864
86369;31.03.2000;43565
86369;30.04.2000;39879
86369;31.05.2000;38674
86369;30.06.2000;38718
86369;31.07.2000;39266
86369;31.08.2000;40545
86369;30.09.2000;38270
86369;31.10.2000;38966
86369;30.11.2000;38009
86369;31.12.2000;36801
86369;31.01.2001;31690
86369;28.02.2001;32264
86369;31.03.2001;33490
86369;30.04.2001;32802
86369;31.05.2001;32430
86369;30.06.2001;33133
86369;31.07.2001;33699
86369;31.08.2001;34127
86369;30.09.2001;32731
86369;31.10.2001;34174
86369;30.11.2001;34670
86369;31.12.2001;34787
86369;31.01.2002;29943
86369;28.02.2002;32829
86369;31.03.2002;34585
86369;30.04.2002;34371
86369;31.05.2002;31968
86369;30.06.2002;32887
86369;31.07.2002;35175
86369;31.08.2002;35907
86369;30.09.2002;33991
86369;31.10.2002;35426
86369;30.11.2002;35813
86369;31.12.2002;36260
86369;31.01.2003;30575
86369;28.02.2003;33222
86369;31.03.2003;34703
86369;30.04.2003;34131
86369;31.05.2003;31783
86369;30.06.2003;31786
86369;31.07.2003;33075
86369;31.08.2003;32383
86369;30.09.2003;30723
86369;31.10.2003;31136
86369;30.11.2003;30244
86369;31.12.2003;30764
86369;31.01.2004;24430
86369;29.02.2004;27195
86369;31.03.2004;28072
86369;30.04.2004;25856
86369;31.05.2004;24004
86369;30.06.2004;24434
86369;31.07.2004;24176
86369;31.08.2004;23394
86369;30.09.2004;21506
86369;31.10.2004;21056
86369;30.11.2004;20010
86369;31.12.2004;18134
86369;31.01.2005;11974
86369;28.02.2005;14315
86369;31.03.2005;15044
86369;30.04.2005;12777
86369;31.05.2005;11318
86369;30.06.2005;11555
86369;31.07.2005;11294
86369;31.08.2005;11120
86369;30.09.2005;10018
86369;31.10.2005;9940
86369;30.11.2005;9683
86369;31.12.2005;8985
86369;31.01.2006;5756
86369;28.02.2006;7186
86369;31.03.2006;7591
86369;30.04.2006;6582
86369;31.05.2006;5951
86369;30.06.2006;5750
86369;31.07.2006;5435
86369;31.08.2006;5198
86369;30.09.2006;4785
86369;31.10.2006;5078
86369;30.11.2006;5727
86369;31.12.2006;5633
86369;31.01.2007;4159
86369;28.02.2007;4803
86369;31.03.2007;4863
86369;30.04.2007;4720
86369;31.05.2007;4435
86369;30.06.2007;4471
86369;31.07.2007;4537
86369;31.08.2007;4214
86369;30.09.2007;4017
86369;31.10.2007;4055
86369;30.11.2007;3947
86369;31.12.2007;3461
86369;31.01.2008;2668
86369;29.02.2008;2962
86369;31.03.2008;2942
86369;30.04.2008;2900
86369;31.05.2008;2575
86369;30.06.2008;2794
86369;31.07.2008;2859
86369;31.08.2008;2590
86369;30.09.2008;2956
